name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
"ZingBox, Ltd.",Service Providers,2200000,operating,,,,1,2005-06-01,2014-12-12,2014-12-12
Ziploop,Software,2200000,operating,USA,CA,Orinda,1,1997-01-01,2014-03-18,2014-03-18
ZipZap,Payments,2200000,operating,USA,CA,San Francisco,2,1992-01-01,2014-05-17,2014-06-21
Zipzoom,E-Commerce,2200000,closed,CAN,ON,Toronto,1,2014-01-01,2011-02-11,2011-02-11
VitalFields,Software,2198602,operating,EST,,Tallinn,3,2003-12-01,2012-11-14,2015-05-27
General Sentiment,Software,2198512,operating,USA,NY,Brownville,2,,2008-12-29,2013-09-19
SageFire,Software,2198284,closed,USA,CO,Boulder,1,,2011-06-20,2011-06-20
GLOBAL FOOD TECHNOLOGIES,Hospitality,2198250,operating,USA,CA,Hanford,2,2006-01-01,2010-02-25,2012-05-07
Nanospectra Biosciences,Health Care,2197973,operating,USA,TX,Houston,3,2008-01-01,2010-11-16,2014-09-08
Chongqing Data Control Technology Co,Test and Measurement,2196193,operating,CHN,,Chongqing,1,2004-01-01,2009-10-01,2009-10-01
Handpay,Finance,2196193,operating,CHN,,Shanghai,3,2009-10-13,2009-08-01,2011-11-01
Hantele,Software,2196193,operating,CHN,,Guangzhou,2,,2009-06-01,2010-03-01
Montnets,Mobile,2196193,operating,CHN,,Shenzhen,3,2014-04-15,2008-10-01,2011-07-01
Twizoo,Restaurants,2195832,operating,,,,2,1996-01-01,2014-04-01,2015-04-02
Adonit,Hardware + Software,2195355,operating,TWN,,Taipei,3,2003-01-01,2011-02-03,2013-04-01
Repsly Inc.,Enterprise Software,2195029,operating,USA,MA,Boston,3,2015-01-01,2010-06-01,2015-05-29
Stratio Inc.,Technology,2195000,operating,USA,CA,Menlo Park,4,2006-01-01,2013-01-09,2015-02-02
Crzyfish,Games,2194059,operating,KOR,,Bundangdong,2,,2010-01-01,2012-09-01
Health Guard Biotech,Biotechnology,2194051,operating,CHN,,Beijing,1,,2008-09-01,2008-09-01
First Wave Technologies,Consulting,2193100,closed,USA,NY,Batavia,3,2004-01-01,2011-03-07,2014-09-05
FancyBox,Marketplaces,2192936,operating,CHL,,Santiago,3,2011-01-01,2012-04-05,2013-10-30
Vontoo,Messaging,2192000,closed,USA,IN,Indianapolis,2,2001-09-01,2009-02-17,2011-02-24
Copley Retention Systems,Education,2190511,operating,USA,FL,Weston,3,1994-01-01,2013-06-19,2015-07-10
Dashboard Systems,Software,2190000,operating,RUS,,Moscow,1,2012-01-01,2014-11-26,2014-11-26
Derceto,Software,2190000,operating,USA,CA,San Francisco,1,2014-01-01,2005-04-21,2005-04-21
Gnodal,Web Hosting,2190000,closed,USA,CA,Palo Alto,2,2007-01-01,2008-04-04,2009-07-21
Lyncean Technologies,Biotechnology,2190000,operating,USA,CA,Palo Alto,3,2013-01-01,2011-05-11,2013-03-29
Kore Virtual Machines,Web Development,2189440,closed,IRL,,Dublin,1,2010-01-01,2009-01-10,2009-01-10
Bridge Pharmaceuticals,Biotechnology,2188388,operating,USA,MD,Gaithersburg,1,2011-01-01,2009-08-07,2009-08-07
BOOM! Entertainment,Graphics,2184267,operating,USA,CA,Los Angeles,2,2011-12-01,2008-02-21,2009-06-16
PlayMob,Mobile,2183409,operating,GBR,,London,5,2012-10-02,2011-04-01,2014-04-01
Imbed Biosciences,Health and Wellness,2183275,operating,USA,WI,Madison,2,2015-01-01,2014-07-29,2014-09-08
Claro,Manufacturing,2183127,operating,USA,CA,Hayward,1,2006-03-15,2010-02-16,2010-02-16
DwellAware,Real Estate,2181000,operating,USA,CA,San Francisco,2,2013-01-01,2013-12-15,2014-03-23
Essential Viewing,Enterprise Software,2180175,acquired,GBR,,Glasgow,1,2009-01-01,2001-11-11,2001-11-11
OVIVO Mobile Communications,Mobile Commerce,2180048,closed,GBR,,London,5,,2013-03-25,2013-12-31
Cloud Security,Security,2180000,ipo,USA,CA,Newport Beach,2,2013-04-01,2013-09-13,2015-02-06
Exara,Software,2180000,operating,USA,CA,San Juan Capistrano,2,2007-01-01,2013-12-15,2014-08-27
LINAGORA,Software,2180000,operating,FRA,,Paris,1,2000-01-01,2006-01-16,2006-01-16
SteelCloud,IT and Cybersecurity,2180000,operating,USA,VA,Ashburn,1,2013-04-05,2010-07-21,2010-07-21
The League,Software,2180000,operating,USA,CA,San Francisco,2,2007-01-01,2014-06-01,2015-01-22
